"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename","symbol","entrez"
"ENSG00000121152",152.85489754481,-3.12641827860562,0.19600509508535,-15.9506990226159,2.81725807079558e-57,5.79089950451676e-56,"non-SMC condensin I complex subunit H","NCAPH","23397"
"ENSG00000071073",3.46291517256694,3.18091734688403,1.31796942399694,2.41349859030677,0.0158001890059018,0.0300546186846903,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","MGAT4A","11320"
"ENSG00000204634",105.628668318824,2.1128870536952,0.199366215924658,10.5980195485763,3.04357079511129e-26,2.67957863669954e-25,"TBC1 domain family member 8","TBC1D8","11138"
"ENSG00000175874",6.41245930957333,3.04699926212644,0.91882887206609,3.31617709756433,0.000912579785479575,0.00210874896180589,"cellular repressor of E1A stimulated genes 2","CREG2","200407"
"ENSG00000115594",2297.59335914873,2.15205095026834,0.147470564297107,14.5930881903498,3.10803835499711e-48,5.1294814418754e-47,"interleukin 1 receptor type 1","IL1R1","3554"
"ENSG00000115598",5.94873065008552,2.25668259266935,0.839177004353843,2.68916162020785,0.00716317287291419,0.0144616053430439,"interleukin 1 receptor like 2","IL1RL2","8808"
"ENSG00000115602",6.50423948845808,2.16375726224274,0.793425724090009,2.7271075244307,0.00638922151973079,0.0130151135808973,"interleukin 1 receptor like 1","IL1RL1","9173"
"ENSG00000115604",61.724297491399,2.81769734893151,0.328765710641938,8.57053292884392,1.03007224794428e-17,6.41911407619567e-17,"interleukin 18 receptor 1","IL18R1","8809"
"ENSG00000144057",2.64110959457406,3.71688820470063,1.47963099767813,2.51203726505679,0.0120036412419963,0.0233698368064124,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2","ST6GAL2","84620"
"ENSG00000144063",5.03872701559054,-3.32178567796104,1.06426524693557,-3.12120092949172,0.00180115093895239,0.00399418635845326,"mal, T cell differentiation protein like","MALL","7851"
"ENSG00000169679",337.231679499979,-3.03236821343323,0.128306142161084,-23.6338507444654,1.7302435235187e-123,1.0944347231596e-121,"BUB1 mitotic checkpoint serine/threonine kinase","BUB1","699"
"ENSG00000169607",221.929375835469,-2.69605301193568,0.151923161487706,-17.7461618461241,1.84543539925962e-70,4.83091064196951e-69,"cytoskeleton associated protein 2 like","CKAP2L","150468"
"ENSG00000115008",27.9078867067545,2.55770327959634,0.421375637982029,6.06988883326335,1.27998821333281e-09,5.13208986766874e-09,"interleukin 1 alpha","IL1A","3552"
"ENSG00000125538",286.388991435147,4.46985055150563,0.207655477484094,21.5253197539565,9.01961223135067e-103,4.11551223113455e-101,"interleukin 1 beta","IL1B","3553"
"ENSG00000072163",287.67373232416,-2.13384757661691,0.12544568577334,-17.0101312250181,6.90828697756446e-65,1.63163995954078e-63,"LIM zinc finger domain containing 2","LIMS2","55679"
"ENSG00000183840",26.8612125827041,-2.10051835592376,0.385945202070997,-5.44253003963333,5.25290987505876e-08,1.8699851627685e-07,"G protein-coupled receptor 39","GPR39","2863"
"ENSG00000076003",377.504275716566,-2.10497620665841,0.112757755469251,-18.6681279518059,8.99508625301937e-78,2.68903815815415e-76,"minichromosome maintenance complex component 6","MCM6","4175"
"ENSG00000168702",34.6315391639251,3.4739817517874,0.451735971332988,7.69029249881592,1.46799030359402e-14,7.91629750983121e-14,"LDL receptor related protein 1B","LRP1B","53353"
"ENSG00000115919",322.712914406034,3.79055529846719,0.170571048675245,22.2227354988251,2.07065838099143e-109,1.03800555166843e-107,"kynureninase","KYNU","8942"
"ENSG00000123610",275.845431876023,2.6984196135197,0.274256440548997,9.83903826695228,7.64380129342923e-23,6.04693201624047e-22,"TNF alpha induced protein 6","TNFAIP6","7130"
"ENSG00000153234",635.93920101828,4.32640777580259,0.13703242626583,31.5721460511088,8.90724412969884e-219,1.87535662833573e-216,"nuclear receptor subfamily 4 group A member 2","NR4A2","4929"
"ENSG00000163072",5.24602695546976,-2.91514758404931,0.981193476885856,-2.97102218137599,0.00296810342485917,0.00638410803788301,"nitric oxide synthase trafficking","NOSTRIN","115677"
"ENSG00000152253",57.6296411054703,-3.10582925145335,0.3165093084781,-9.81275800824749,9.9218960089964e-23,7.80720252966305e-22,"SPC25 component of NDC80 kinetochore complex","SPC25","57405"
"ENSG00000144354",79.3321845773423,-2.42822134394668,0.247209706565918,-9.82251618546056,9.00668857169237e-23,7.10222451415742e-22,"cell division cycle associated 7","CDCA7","83879"
"ENSG00000064989",10.3318553999407,-2.50582244558123,0.649523594247378,-3.85793906145134,0.000114347146943473,0.000294572321561424,"calcitonin receptor like receptor","CALCRL","10203"
"ENSG00000182329",4.35839966181653,-2.19812566529719,0.985804140997598,-2.22977929781545,0.0257620984248656,0.0469264375955591,"KIAA2012","KIAA2012","100652824"
"ENSG00000138439",346.205455204326,2.55684237527184,0.126390523051475,20.2297000878026,5.36281306931592e-91,2.03703966534995e-89,"family with sequence similarity 117 member B","FAM117B","150864"
"ENSG00000183671",14.5620913396255,-3.6124469377238,0.671637313977755,-5.37856796003363,7.50806408385822e-08,2.63524287849256e-07,"chemerin chemokine-like receptor 2","CMKLR2","2825"
"ENSG00000138376",75.538491786139,-2.42844113512532,0.238672869758999,-10.174768240636,2.57011073094888e-24,2.13639548520725e-23,"BRCA1 associated RING domain 1","BARD1","580"
"ENSG00000175084",5.41529895030962,-2.23011187430296,0.875128921617457,-2.54832381745669,0.0108241945796793,0.0212470758997689,"desmin","DES","1674"
"ENSG00000152049",330.933800670777,2.4877445382413,0.126921379734579,19.6006736094717,1.52590620588431e-85,5.26669921834263e-84,"potassium voltage-gated channel subfamily E regulatory subunit 4","KCNE4","23704"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704491,31.5755460911245,7.99970833077695e-219,1.7086913243332e-216,"secretogranin II","SCG2","7857"
"ENSG00000163273",40.864509174533,2.42765728339209,0.344127613100845,7.05452625994497,1.7318974424396e-12,8.36601262100124e-12,"natriuretic peptide C","NPPC","4880"
"ENSG00000168918",21.8304031928055,2.56593711056691,0.465430771223425,5.51303710285876,3.52693842825524e-08,1.27746420633142e-07,"inositol polyphosphate-5-phosphatase D","INPP5D","3635"
"ENSG00000123485",260.197140320079,-2.65014571276408,0.14097215974344,-18.7990715158735,7.68498720540015e-79,2.33048027640303e-77,"Holliday junction recognition protein","HJURP","55355"
"ENSG00000144619",15.3158806933518,3.76271687136146,0.694576929037143,5.41727879815635,6.0512943872007e-08,2.14333036958817e-07,"contactin 4","CNTN4","152330"
"ENSG00000163701",25.3560683438015,-2.76670355149963,0.430550735091862,-6.42596406416384,1.31036358462313e-10,5.62216550514575e-10,"interleukin 17 receptor E","IL17RE","132014"
"ENSG00000144554",150.096850302816,-2.09867755890384,0.173739056433792,-12.0794805841691,1.3557342730534e-33,1.51945336245331e-32,"FA complementation group D2","FANCD2","2177"
"ENSG00000144712",93.6408411442784,-2.31071707403517,0.213841312589879,-10.805756128456,3.2328245863044e-27,2.95017763176187e-26,"cullin associated and neddylation dissociated 2 (putative)","CAND2","23066"
"ENSG00000129810",38.890579035127,-2.65416038435034,0.352802719428499,-7.52307235230437,5.35037951150055e-14,2.81018864007467e-13,"shugoshin 1","SGO1","151648"
"ENSG00000163491",142.818009557937,2.07230064530167,0.171446715082611,12.0871411522999,1.23510081968352e-33,1.38636069158383e-32,"NIMA related kinase 10","NEK10","152110"
"ENSG00000114739",291.174217170139,3.56367290530309,0.161345201862144,22.0872567896252,4.19084420817643e-108,2.07263966241961e-106,"activin A receptor type 2B","ACVR2B","93"
"ENSG00000168334",3.89335446916111,-3.46723385590848,1.26294093301207,-2.74536501690482,0.00604436270564433,0.0123769675185862,"xin actin binding repeat containing 1","XIRP1","165904"
"ENSG00000163808",109.837962751288,-3.0009715092921,0.219608373205918,-13.6651051391297,1.64066639592664e-42,2.36365018017271e-41,"kinesin family member 15","KIF15","56992"
"ENSG00000183763",46.4072133448064,-3.39894311381412,0.358745389470131,-9.47452765548953,2.67970307580291e-21,1.97962225218964e-20,"TRAF interacting protein","TRAIP","10293"
"ENSG00000164087",120.649607655748,-2.01472832750526,0.194793417142541,-10.3428973989967,4.50700881810806e-25,3.83955467984258e-24,"POC1 centriolar protein A","POC1A","25886"
"ENSG00000168306",54.1184165522606,-2.34721822816402,0.27777501025802,-8.45006981003703,2.91128692369949e-17,1.77080258693698e-16,"acyl-CoA oxidase 2","ACOX2","8309"
"ENSG00000044524",3.9318647308226,-2.86752640573709,1.11380287707735,-2.57453671987412,0.0100374431435524,0.0197981580633933,"EPH receptor A3","EPHA3","2042"
"ENSG00000144821",12.7124666863379,-2.26563778968577,0.571561663670613,-3.96394288436994,7.3721898096631e-05,0.000194193625406282,"myosin heavy chain 15","MYH15","22989"
"ENSG00000163507",227.058322893011,-2.08827295427786,0.140355799257793,-14.8784230172229,4.55100484253573e-50,7.84476132974171e-49,"cellular inhibitor of PP2A","CIP2A","57650"
"ENSG00000051341",119.498988823157,-2.8347331498712,0.21625652015897,-13.108197374985,2.95539625143696e-39,3.89246022821072e-38,"DNA polymerase theta","POLQ","10721"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.058906348089818,-36.466132722591,3.81873143499156e-291,1.94070565134157e-288,"monoglyceride lipase","MGLL","11343"
"ENSG00000114654",3.38419453839636,4.09710319829927,1.41713466685425,2.89111775622142,0.00383874254027682,0.0081193150916475,"EF-hand and coiled-coil domain containing 1","EFCC1","79825"
"ENSG00000183770",20.5195109936707,2.47292695425007,0.488816358501212,5.05901022181919,4.21438277122185e-07,1.39827945254992e-06,"forkhead box L2","FOXL2","668"
"ENSG00000206262",4.7773637716545,2.17907472864802,0.938236449569163,2.32252192893236,0.0202048490425524,0.0375746454497333,"FOXL2 neighbor","FOXL2NB","401089"
"ENSG00000155903",1023.35613415789,2.05089158351227,0.0724505356556458,28.3074730221466,2.79630988086647e-176,3.6150890372114e-174,"RAS p21 protein activator 2","RASA2","5922"
"ENSG00000175040",589.693116509631,2.02107463308378,0.0941513978275525,21.4662201488031,3.22181657707909e-102,1.45653781328195e-100,"carbohydrate sulfotransferase 2","CHST2","9435"
"ENSG00000144893",18.9907813205522,2.34574550616827,0.478470798388532,4.90258865132132,9.45819076113039e-07,3.04554982384836e-06,"mediator complex subunit 12L","MED12L","116931"
"ENSG00000152580",5.06539953075312,2.64058980502346,0.970551635947356,2.72071027158279,0.0065141827693904,0.0132550083743305,"immunoglobulin superfamily member 10","IGSF10","285313"
"ENSG00000114771",8.87502828904809,2.07181618835756,0.679211968657758,3.05032343945858,0.00228595042248843,0.00499486098245137,"arylacetamide deacetylase","AADAC","13"
"ENSG00000169860",2.90364219795727,4.90435771255827,1.46081701296161,3.3572703966634,0.000787160906673403,0.00183504863058409,"purinergic receptor P2Y1","P2RY1","5028"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.080659435357008,35.177968394482,4.34407225917753e-271,1.56153504770143e-268,"membrane metalloendopeptidase","MME","4311"
"ENSG00000180044",6.36573700666312,2.3639296902697,0.825407936741268,2.86395318610887,0.00418389840912217,0.00879382412345159,"chromosome 3 open reading frame 80","C3orf80","401097"
"ENSG00000163590",45.0929332528725,2.1237854883765,0.307690117705472,6.90235196441842,5.11485134000577e-12,2.40455116583748e-11,"protein phosphatase, Mg2+/Mn2+ dependent 1L","PPM1L","151742"
"ENSG00000013297",3890.38900873251,-2.90578849584538,0.198946772026378,-14.6058589754857,2.5771349872983e-48,4.2628300160272e-47,"claudin 11","CLDN11","5010"
"ENSG00000013293",186.24913145338,-3.41951074687177,0.187048348568052,-18.2814270911763,1.16341725684101e-74,3.2784786866774e-73,"solute carrier family 7 member 14","SLC7A14","57709"
"ENSG00000114796",586.82411052868,2.29706369421062,0.0986860203283315,23.2764852262581,7.67337582439367e-120,4.40039738910171e-118,"kelch like family member 24","KLHL24","54800"
"ENSG00000163898",19.1195209153036,-2.46012247496534,0.476750616599456,-5.16018729564062,2.46702907669136e-07,8.33732504752977e-07,"lipase H","LIPH","200879"
